,prize,Category,terminal,type,degree
USP39,0.0,,False,protein,75
TFB1M,0.0,,False,protein,3
FAM92A1,0.0,,False,protein,2
CYR61,0.0,,False,protein,8
FOXK1,0.0,,False,protein,18
DNASE2B,0.0,,False,protein,1
KDM3A,0.0,,False,protein,11
DYNC1LI2,0.0,,False,protein,20
AP4B1,0.0,,False,protein,7
IL9,0.0,,False,protein,2
UFSP2,0.0,,False,protein,3
NOTCH3,0.0,,False,protein,51
ITGB2,0.0,,False,protein,56
FTCD,0.0,,False,protein,4
PPM1H,0.0,,False,protein,1
KDELC2,0.0,,False,protein,1
SNX3,0.0,,False,protein,41
SSH2,0.0,,False,protein,3
ACER3,0.0,,False,protein,1
NCF4,0.0,,False,protein,10
SDAD1,0.0,,False,protein,6
FBXO10,0.0,,False,protein,4
ZWINT,0.0,,False,protein,36
ANXA2,4.3064,ECM-affiliated Proteins,True,protein,98
ABCF3,0.0,,False,protein,19
NPR3,0.0,,False,protein,3
C5ORF24,0.0,,False,protein,2
NT5DC2,0.0,,False,protein,6
SNED1,0.0,,False,protein,2
PTK2B,0.0,,False,protein,88
CTSO,0.0,,False,protein,1
PITX3,0.0,,False,protein,4
AP1B1,0.0,,False,protein,47
ZNF649,0.0,,False,protein,3
PLEKHG6,0.0,,False,protein,1
CCR7,0.0,,False,protein,5
LAMTOR2,0.0,,False,protein,19
HIPK2,0.0,,False,protein,61
NFIX,0.0,,False,protein,12
NUDT22,0.0,,False,protein,1
RAP2A,0.0,,False,protein,34
GLIS2,0.0,,False,protein,12
SPNS1,0.0,,False,protein,7
PPHLN1,0.0,,False,protein,22
PAWR,0.0,,False,protein,40
TMEM252,0.0,,False,protein,1
ARL5B,0.0,,False,protein,1
ALDOC,0.0,,False,protein,15
MGAT1,0.0,,False,protein,2
CBX8,0.0,,False,protein,101
ZNF652,0.0,,False,protein,4
MFI2,0.0,,False,protein,6
QDPR,0.0,,False,protein,9
MED4,0.0,,False,protein,71
DDX17,0.0,,False,protein,115
ZNF443,0.0,,False,protein,1
URB1,0.0,,False,protein,6
HOMER2,0.0,,False,protein,10
ZNF2,0.0,,False,protein,4
AURKC,0.0,,False,protein,14
FOXP3,0.0,,False,protein,25
MKNK1,0.0,,False,protein,25
KIDINS220,0.0,,False,protein,11
FAM114A2,0.0,,False,protein,1
MFAP4,0.0,,False,protein,6
C5ORF45,0.0,,False,protein,1
MTFR1L,0.0,,False,protein,3
ZNF384,0.0,,False,protein,8
CXCR2,0.0,,False,protein,22
BIN3,0.0,,False,protein,2
GHR,0.0,,False,protein,43
VGF,0.0,,False,protein,3
PRR16,0.0,,False,protein,5
EPHX1,0.0,,False,protein,7
FJX1,0.0,,False,protein,2
ANKRD65,0.0,,False,protein,1
TBC1D13,0.0,,False,protein,2
LOC102723996,0.0,,False,protein,1
CAMK1D,0.0,,False,protein,20
MUC1,3.5254,ECM-affiliated Proteins,True,protein,41
UGT1A8,0.0,,False,protein,8
ACSBG2,0.0,,False,protein,1
ADCY1,0.0,,False,protein,2
FGFR1OP,0.0,,False,protein,13
C1QBP,0.0,,False,protein,144
DAZ1,0.0,,False,protein,10
RFC2,0.0,,False,protein,45
LNP1,0.0,,False,protein,1
TRMT2B,0.0,,False,protein,1
LPPR3,0.0,,False,protein,2
ACP1,0.0,,False,protein,28
ARHGEF16,0.0,,False,protein,7
IL18R1,0.0,,False,protein,4
ADSS,0.0,,False,protein,25
SPATA13,0.0,,False,protein,1
COMT,0.0,,False,protein,15
HES4,0.0,,False,protein,13
NUP93,0.0,,False,protein,49
SHC2,0.0,,False,protein,11
TMPRSS11D,0.0,,False,protein,1
DGCR6L,0.0,,False,protein,12
ZNF697,0.0,,False,protein,10
RXRG,0.0,,False,protein,33
DXO,0.0,,False,protein,9
LTB4R,0.0,,False,protein,4
CBLN2,0.0,,False,protein,1
ANP32A,0.0,,False,protein,45
PLSCR1,0.0,,False,protein,120
DAXX,0.0,,False,protein,110
TSKS,0.0,,False,protein,8
PPARA,0.0,,False,protein,47
PNLIPRP1,0.0,,False,protein,1
AGO4,0.0,,False,protein,63
CELSR3,0.0,,False,protein,19
SYNCRIP,0.0,,False,protein,145
DICER1,0.0,,False,protein,44
ACTR8,0.0,,False,protein,15
PAN3,0.0,,False,protein,6
GUCD1,0.0,,False,protein,7
HEXIM1,0.0,,False,protein,27
GREB1,0.0,,False,protein,11
YME1L1,0.0,,False,protein,16
C12ORF50,0.0,,False,protein,1
NR1I3,0.0,,False,protein,17
DDX10,0.0,,False,protein,4
CIAPIN1,0.0,,False,protein,15
CNNM2,0.0,,False,protein,1
THAP1,0.0,,False,protein,59
UROD,0.0,,False,protein,10
DNAJB4,0.0,,False,protein,19
PPP2CA,0.0,,False,protein,207
RGP1,0.0,,False,protein,1
MAPK15,0.0,,False,protein,20
CELA3A,0.0,,False,protein,1
SFTPD,0.0,,False,protein,4
FANCA,0.0,,False,protein,74
NADK2,0.0,,False,protein,15
STOML3,0.0,,False,protein,2
MPPED1,0.0,,False,protein,5
DNAJB14,0.0,,False,protein,2
OLFM1,0.0,,False,protein,3
EBF2,0.0,,False,protein,1
PRDM1,0.0,,False,protein,29
BAK1,0.0,,False,protein,32
HOXD8,0.0,,False,protein,5
