dc_pair,d,z,mean,sd
DB13928_poorest,1.0,-0.1890681713658816,1.063,0.33321314499881305
DB13928_richest,2.0,2.264201403038124,1.107,0.3943995436102836
DB13928_rich,2.0,2.5332447938148457,1.056,0.3726446028054076
DB13929_poor,2.0,0.7128847264492578,1.766,0.3282438118228583
DB13929_poorest,2.0,0.6902758844575175,1.771,0.3317514129585585
DB13929_richest,2.0,0.5965801409213742,1.8205,0.30088162123998197
DB13929_rich,2.0,0.6701206892745328,1.7775,0.3320297426436372
DB13923_poor,0.5,-2.9297326385411577,1.53,0.3515679166249389
DB13923_poorest,0.5,-2.988135557725595,1.536,0.346704485116648
DB13923_richest,1.5,-0.34860625803221973,1.618,0.33849076796864047
DB13923_rich,0.5,-3.159862409286469,1.574,0.3398882169184451
DB13926_poor,1.0,-0.01766916378444007,1.0035,0.19808520893797196
DB13926_poorest,1.0,-0.10767162565740053,1.019,0.17646246059714796
DB13926_richest,1.0,-0.24872496750604267,1.0575,0.2311790431678443
DB13926_rich,1.0,-0.08559209850218266,1.02,0.23366642891095846
DB13925_poor,2.0,0.771024929344574,1.601,0.5174929951216731
DB13925_poorest,2.0,0.7377445721257567,1.625,0.5083060101946465
DB13925_richest,1.0,-1.4146593349806587,1.69,0.48774993593028787
DB13925_rich,2.0,0.7511618793361023,1.608,0.5218582182930533
DB01958_poor,3.0,1.5785501354063454,2.146,0.5410027726361483
DB01958_poorest,2.0,-0.2676871611934481,2.151,0.5640913046661861
DB01958_richest,3.0,1.449111880760205,2.205,0.5486118846689342
DB01958_rich,3.0,1.4885818394391936,2.177,0.5528752119601673
DB01959_poor,1.5,0.3597927517841885,1.389,0.30851093983844396
DB01959_poorest,1.5,0.39251322630901697,1.3765,0.31463907894602033
DB01959_richest,1.5,0.18525225632833167,1.44,0.323882694814033
DB01959_rich,1.5,0.2731715536560065,1.4135,0.3166508329374802
DB01488_poor,1.6666666666666667,0.2329062205427727,1.603,0.27335751925515667
DB01488_poorest,1.6666666666666667,0.19959906725115922,1.612,0.273882375401477
DB01488_richest,2.0,1.1584188430909974,1.6823333333333335,0.2742243606975865
DB01488_rich,2.0,1.3239955783256336,1.6306666666666667,0.2789536002834721
DB01489_poor,1.8333333333333333,-0.22118457957315707,1.865,0.14316850988336166
